air_yards,completion_rate
-10,0.581
-9,0.581
-8,0.679
-7,0.778
-6,0.805
-5,0.832
-4,0.843
-3,0.854
-2,0.8
-1,0.747
0,0.764
1,0.781
2,0.766
3,0.752
4,0.745
5,0.738
6,0.696
7,0.653
8,0.618
9,0.583
10,0.589
11,0.595
12,0.591
13,0.588
14,0.574
15,0.56
16,0.554
17,0.547
18,0.53
19,0.512
20,0.48
21,0.447
22,0.424
23,0.402
24,0.387
25,0.372
26,0.366
27,0.36
28,0.349
29,0.337
30,0.334
31,0.331
32,0.333
33,0.335
34,0.317
35,0.299
36,0.297
37,0.295
38,0.31
39,0.326
40,0.326
41,0.325
42,0.321
43,0.317
44,0.285
45,0.253
46,0.273
47,0.294
48,0.294
49,0.295
50,0.295
